x,y,xh,yh,xl,yl
0.020026702269692925,-0.20584795321637417,0.01335113484646195,0.1567251461988306,0.0267022696929239,-0.49356725146198827
0.16688918558077437,-0.17076023391812856,0.1568758344459279,0.18479532163742707,0.1635514018691589,-0.4374269005847953
0.3204272363150868,-0.08654970760233904,0.3037383177570094,0.23391812865497097,0.3170894526034713,-0.31111111111111106
0.507343124165554,0.002339181286549863,0.5040053404539386,0.29707602339181305,0.520694259012016,-0.17543859649122795
0.7610146862483311,0.04678362573099426,0.7543391188251002,0.3345029239766084,0.7576769025367156,-0.11695906432748526
1.061415220293725,0.07017543859649134,1.0480640854472631,0.34619883040935684,1.054739652870494,-0.08187134502923965
1.335113484646195,0.0982456140350878,1.3317757009345794,0.353216374269006,1.328437917222964,-0.04678362573099404
1.622162883845127,0.12163742690058499,1.615487316421896,0.36023391812865513,1.6255006675567423,-0.007017543859649034
1.9325767690253672,0.14970760233918146,1.9192256341789053,0.38128654970760256,1.9292389853137517,0.03508771929824572
2.2429906542056077,0.18479532163742707,2.2263017356475303,0.3742690058479534,2.2429906542056077,0.07719298245614048
2.466622162883845,0.2011695906432751,2.469959946595461,0.38596491228070184,2.466622162883845,0.1076023391812867
