x,y,xh,yh,xl,yl
-4.921375921375922,0.11171032357473036,-4.921375921375922,0.17719568567026195,-4.941031941031941,0.0
-4.321867321867322,0.11556240369799692,-4.3316953316953315,0.16563944530046226,-4.321867321867322,0.0
-3.4176904176904177,0.14637904468412943,-3.4176904176904177,0.2041602465331279,-3.427518427518428,0.0
-2.15970515970516,0.15793528505392912,-2.15970515970516,0.21571648690292758,-2.14004914004914,0.0
-0.9803439803439806,0.14637904468412943,-0.9803439803439806,0.211864406779661,-0.941031941031941,0.0
0.002457002457002311,0.2542372881355932,0.002457002457002311,0.37750385208012327,0.04176904176904195,0.046224961479198766
0.7985257985257981,0.4391371340523883,0.7985257985257981,0.6394453004622496,0.8181818181818183,0.13097072419106318
1.555282555282555,0.7164869029275809,1.5159705159705155,0.9938366718027735,1.5847665847665846,0.2889060092449923
2.125307125307125,0.9938366718027735,2.1154791154791157,1.3559322033898304,2.125307125307125,0.44298921417565484
2.597051597051597,1.2403993855606759,2.597051597051597,1.6666666666666667,2.597051597051597,0.65284178187404
2.941031941031941,1.3863287250384024,2.941031941031941,1.816436251920123,2.941031941031941,0.7488479262672811
